P1,MC,Average BnB Assignments,Average BnBIC Assignments,Average BnBICDAC Assignments,Average BnB CCs,Average BnBIC CCs,Average BnBICDAC CCs
0.2,1,8648,947,861,43541,17852,12746
0.2,10,63742,32932,29896,367954,356070,317784
0.2,100,81588,76526,76148,479886,778006,773207
0.2,1000,80543,80018,79989,473125,810559,810167
0.2,10000,86730,86672,86669,513550,873514,873474
0.5,1,9405,1032,842,48057,18562,12355
0.5,10,62651,32415,29357,360585,351139,312595
0.5,100,80441,75451,75097,472221,767952,763348
0.5,1000,87861,87302,87264,520601,879911,879407
0.5,10000,88618,88561,88557,525818,891461,891416
0.8,1,9416,1005,901,47772,18658,13122
0.8,10,60472,31045,28125,348327,336426,299269
0.8,100,82815,77748,77389,487080,790412,785720
0.8,1000,85312,84775,84738,503783,856109,855631
0.8,10000,89143,89087,89083,528283,897405,897354
