P1,P2,Average BnB Assignments,Average BnBIC Assignments,Average BnBICDAC Assignments,Average BnB CCs,Average BnBIC CCs,Average BnBICDAC CCs
0.2,0.1,44,44,44,168,468,468
0.2,0.2,155,51,51,903,535,533
0.2,0.30000000000000004,428,223,223,2582,2681,2680
0.2,0.4,171,69,68,822,747,731
0.2,0.5,588,120,107,3125,1572,1392
0.2,0.6,796,147,113,4551,2082,1548
0.2,0.7,2915,327,221,16357,4949,3381
0.2,0.7999999999999999,9041,689,660,51242,12305,8933
0.2,0.9,33368,2227,1382,196892,38341,21222
0.2,0.91,44642,1722,877,272492,28824,13044
0.2,0.92,35677,1629,1289,213534,28265,18067
0.2,0.93,53190,3168,1563,324235,48084,19540
0.2,0.9400000000000001,77338,5233,4432,485902,88620,66990
0.2,0.9500000000000001,91598,2479,1360,576663,39654,18680
0.2,0.9600000000000001,103019,3875,2408,647216,63815,32253
0.5,0.1,57,54,54,239,572,572
0.5,0.2,70,64,63,323,672,668
0.5,0.30000000000000004,133,84,81,670,939,902
0.5,0.4,527,166,157,2910,2137,2030
0.5,0.5,1515,346,308,7758,5473,4784
0.5,0.6,4231,495,455,22085,8783,7319
0.5,0.7,9575,855,777,49480,16513,12010
0.5,0.7999999999999999,21368,1167,785,116621,20987,10594
0.5,0.9,87360,4346,2344,527496,66583,27801
0.5,0.91,88915,4379,2115,539089,63407,25313
0.5,0.92,109053,3453,1976,672866,52522,23865
0.5,0.93,113076,4230,2684,700071,65998,32087
0.5,0.9400000000000001,145607,5039,2101,920489,72653,24961
0.5,0.9500000000000001,120808,4060,2113,750501,60041,25455
0.5,0.9600000000000001,167347,7222,4641,1065853,98759,52572
0.8,0.1,63,62,62,275,649,649
0.8,0.2,122,98,86,614,1059,935
0.8,0.30000000000000004,456,180,167,2358,2391,2225
0.8,0.4,1645,431,390,8049,7161,6280
0.8,0.5,5187,711,603,25629,13190,9478
0.8,0.6,11098,949,769,57603,17567,11020
0.8,0.7,29475,1769,1247,162182,31064,16105
0.8,0.7999999999999999,55540,2493,1372,317056,41490,17135
0.8,0.9,113962,4690,2346,690747,69530,28081
0.8,0.91,142077,5043,2770,882273,73172,32949
0.8,0.92,163836,6526,3462,1027116,89773,40232
0.8,0.93,185704,6920,3395,1181842,92103,39967
0.8,0.9400000000000001,213763,7874,4564,1376518,101109,52563
0.8,0.9500000000000001,250050,10506,4043,1628290,128407,47242
0.8,0.9600000000000001,309465,11681,5342,2044195,141069,61136
